Constrain;Pattern;par_inf;nrmse;color;Res_lvl;Frac;Min;Max;Range;rmse_full;rmse;rmse_range
ThickB;SL;ThickB;0.64;64;4;0.56;0.05;2;1.95;0.489632;0.31336448;0.160699733
ThickB;SL;ThickB;0.54;54;5;0.44;0.05;2;1.95;0.489632;0.26440128;0.1355904
ThickB;SL;ThickB;0.44;44;6;0.33;0.05;2;1.95;0.489632;0.21543808;0.110481067
ThickB;SL;ThickB;0.34;34;7;0.22;0.05;2;1.95;0.489632;0.16647488;0.085371733
ThickB;SL;ThickB;0.22;22;8;0.11;0.05;2;1.95;0.489632;0.10771904;0.055240533
ECC;SL;ThickB;1.01;101;1;0.89;0.05;2;1.95;0.489632;0.49452832;0.253604267
ECC;SL;ThickB;1;100;2;0.78;0.05;2;1.95;0.489632;0.489632;0.251093333
ECC;SL;ThickB;1;100;3;0.67;0.05;2;1.95;0.489632;0.489632;0.251093333
ECC;SL;ThickB;0.99;99;4;0.56;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECC;SL;ThickB;0.97;97;5;0.44;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECC;SL;ThickB;0.96;96;6;0.33;0.05;2;1.95;0.489632;0.47004672;0.2410496
ECC;SL;ThickB;0.92;92;7;0.22;0.05;2;1.95;0.489632;0.45046144;0.231005867
ECC;SL;ThickB;0.91;91;8;0.11;0.05;2;1.95;0.489632;0.44556512;0.228494933
ECA;SL;ECC;1;100;1;0.89;1;100;99;1.508747;1.508747;0.015239869
ECA;SL;ECC;1.02;102;2;0.78;1;100;99;1.508747;1.53892194;0.015544666
ECA;SL;ECC;1.02;102;3;0.67;1;100;99;1.508747;1.53892194;0.015544666
ECA;SL;ECC;1.02;102;4;0.56;1;100;99;1.508747;1.53892194;0.015544666
ECA;SL;ECC;1.05;105;5;0.44;1;100;99;1.508747;1.58418435;0.016001862
ECA;SL;ECC;1.09;109;6;0.33;1;100;99;1.508747;1.64453423;0.016611457
ECA;SL;ECC;1.13;113;7;0.22;1;100;99;1.508747;1.70488411;0.017221052
ECA;SL;ECC;1.29;129;8;0.11;1;100;99;1.508747;1.94628363;0.019659431
ThickA;SL;ECC;0.98;98;1;0.89;1;100;99;1.508747;1.47857206;0.014935071
ThickA;SL;ECC;0.97;97;2;0.78;1;100;99;1.508747;1.46348459;0.014782673
ThickA;SL;ECC;0.92;92;3;0.67;1;100;99;1.508747;1.38804724;0.014020679
ThickA;SL;ECC;0.85;85;4;0.56;1;100;99;1.508747;1.28243495;0.012953888
ThickA;SL;ECC;0.88;88;5;0.44;1;100;99;1.508747;1.32769736;0.013411084
ThickA;SL;ECC;0.86;86;6;0.33;1;100;99;1.508747;1.29752242;0.013106287
ThickA;SL;ECC;0.87;87;7;0.22;1;100;99;1.508747;1.31260989;0.013258686
ThickA;SL;ECC;0.89;89;8;0.11;1;100;99;1.508747;1.34278483;0.013563483
ECB;SL;ECC;1;100;1;0.89;1;100;99;1.508747;1.508747;0.015239869
ECB;SL;ECC;0.99;99;2;0.78;1;100;99;1.508747;1.49365953;0.01508747
ECB;SL;ECC;1;100;3;0.67;1;100;99;1.508747;1.508747;0.015239869
ECB;SL;ECC;1.04;104;4;0.56;1;100;99;1.508747;1.56909688;0.015849463
ECB;SL;ECC;1.08;108;5;0.44;1;100;99;1.508747;1.62944676;0.016459058
ECB;SL;ECC;1.19;119;6;0.33;1;100;99;1.508747;1.79540893;0.018135444
ECB;SL;ECC;1.27;127;7;0.22;1;100;99;1.508747;1.91610869;0.019354633
ECB;SL;ECC;1.44;144;8;0.11;1;100;99;1.508747;2.17259568;0.021945411
ThickB;SL;ECC;0.95;95;1;0.89;1;100;99;1.508747;1.43330965;0.014477875
ThickB;SL;ECC;0.9;90;2;0.78;1;100;99;1.508747;1.3578723;0.013715882
ThickB;SL;ECC;0.84;84;3;0.67;1;100;99;1.508747;1.26734748;0.01280149
ThickB;SL;ECC;0.77;77;4;0.56;1;100;99;1.508747;1.16173519;0.011734699
ThickB;SL;ECC;0.72;72;5;0.44;1;100;99;1.508747;1.08629784;0.010972705
ThickB;SL;ECC;0.67;67;6;0.33;1;100;99;1.508747;1.01086049;0.010210712
ThickB;SL;ECC;0.62;62;7;0.22;1;100;99;1.508747;0.93542314;0.009448719
ThickB;SL;ECC;0.59;59;8;0.11;1;100;99;1.508747;0.89016073;0.008991523
ECC;SL;ECC;1;100;1;0.89;1;100;99;1.508747;1.508747;0.015239869
ECC;SL;ECC;1.02;102;2;0.78;1;100;99;1.508747;1.53892194;0.015544666
ECC;SL;ECC;1.02;102;3;0.67;1;100;99;1.508747;1.53892194;0.015544666
ECC;SL;ECC;1.01;101;4;0.56;1;100;99;1.508747;1.52383447;0.015392267
ECC;SL;ECC;1;100;5;0.44;1;100;99;1.508747;1.508747;0.015239869
ECC;SL;ECC;0.98;98;6;0.33;1;100;99;1.508747;1.47857206;0.014935071
ECC;SL;ECC;0.95;95;7;0.22;1;100;99;1.508747;1.43330965;0.014477875
ECC;SL;ECC;0.87;87;8;0.11;1;100;99;1.508747;1.31260989;0.013258686
ECA;SH;ECA;0.99;99;1;0.89;1;100;99;7.265572;7.19291628;0.07265572
ECA;SH;ECA;0.95;95;2;0.78;1;100;99;7.265572;6.9022934;0.069720135
ECA;SH;ECA;0.89;89;3;0.67;1;100;99;7.265572;6.46635908;0.065316758
ECA;SH;ECA;0.83;83;4;0.56;1;100;99;7.265572;6.03042476;0.060913381
ECA;SH;ECA;0.74;74;5;0.44;1;100;99;7.265572;5.37652328;0.054308316
ECA;SH;ECA;0.63;63;6;0.33;1;100;99;7.265572;4.57731036;0.046235458
ECA;SH;ECA;0.52;52;7;0.22;1;100;99;7.265572;3.77809744;0.0381626
ECA;SH;ECA;0.39;39;8;0.11;1;100;99;7.265572;2.83357308;0.02862195
ThickA;SH;ECA;0.34;34;1;0.89;1;100;99;7.265572;2.47029448;0.024952469
ThickA;SH;ECA;0.2;20;2;0.78;1;100;99;7.265572;1.4531144;0.014677923
ThickA;SH;ECA;0.12;12;3;0.67;1;100;99;7.265572;0.87186864;0.008806754
ThickA;SH;ECA;0.06;6;4;0.56;1;100;99;7.265572;0.43593432;0.004403377
ThickA;SH;ECA;0.04;4;5;0.44;1;100;99;7.265572;0.29062288;0.002935585
ThickA;SH;ECA;0.03;3;6;0.33;1;100;99;7.265572;0.21796716;0.002201688
ThickA;SH;ECA;0;0;7;0.22;1;100;99;7.265572;0;0
ThickA;SH;ECA;0;0;8;0.11;1;100;99;7.265572;0;0
ECB;SH;ECA;0.95;95;1;0.89;1;100;99;7.265572;6.9022934;0.069720135
ECB;SH;ECA;0.93;93;2;0.78;1;100;99;7.265572;6.75698196;0.068252343
ECB;SH;ECA;0.92;92;3;0.67;1;100;99;7.265572;6.68432624;0.067518447
ECB;SH;ECA;0.93;93;4;0.56;1;100;99;7.265572;6.75698196;0.068252343
ECB;SH;ECA;0.93;93;5;0.44;1;100;99;7.265572;6.75698196;0.068252343
ECB;SH;ECA;0.96;96;6;0.33;1;100;99;7.265572;6.97494912;0.070454032
ECB;SH;ECA;0.97;97;7;0.22;1;100;99;7.265572;7.04760484;0.071187928
ECB;SH;ECA;1.01;101;8;0.11;1;100;99;7.265572;7.33822772;0.074123512
ThickB;SH;ECA;1.02;102;1;0.89;1;100;99;7.265572;7.41088344;0.074857408
ThickB;SH;ECA;0.98;98;2;0.78;1;100;99;7.265572;7.12026056;0.071921824
ThickB;SH;ECA;0.94;94;3;0.67;1;100;99;7.265572;6.82963768;0.068986239
ThickB;SH;ECA;0.92;92;4;0.56;1;100;99;7.265572;6.68432624;0.067518447
ThickB;SH;ECA;0.89;89;5;0.44;1;100;99;7.265572;6.46635908;0.065316758
ThickB;SH;ECA;0.9;90;6;0.33;1;100;99;7.265572;6.5390148;0.066050655
ThickB;SH;ECA;0.94;94;7;0.22;1;100;99;7.265572;6.82963768;0.068986239
ThickB;SH;ECA;1.04;104;8;0.11;1;100;99;7.265572;7.55619488;0.076325201
ECC;SH;ECA;0.99;99;1;0.89;1;100;99;7.265572;7.19291628;0.07265572
ECC;SH;ECA;1;100;2;0.78;1;100;99;7.265572;7.265572;0.073389616
ECC;SH;ECA;0.99;99;3;0.67;1;100;99;7.265572;7.19291628;0.07265572
ECC;SH;ECA;0.98;98;4;0.56;1;100;99;7.265572;7.12026056;0.071921824
ECC;SH;ECA;0.98;98;5;0.44;1;100;99;7.265572;7.12026056;0.071921824
ECC;SH;ECA;0.98;98;6;0.33;1;100;99;7.265572;7.12026056;0.071921824
ECC;SH;ECA;0.99;99;7;0.22;1;100;99;7.265572;7.19291628;0.07265572
ECC;SH;ECA;1.01;101;8;0.11;1;100;99;7.265572;7.33822772;0.074123512
ECA;SH;ThickA;0.99;99;1;0.89;0.05;1.45;1.4;0.28212;0.2792988;0.199499143
ECA;SH;ThickA;0.98;98;2;0.78;0.05;1.45;1.4;0.28212;0.2764776;0.197484
ECA;SH;ThickA;0.95;95;3;0.67;0.05;1.45;1.4;0.28212;0.268014;0.191438571
ECA;SH;ThickA;0.92;92;4;0.56;0.05;1.45;1.4;0.28212;0.2595504;0.185393143
ECA;SH;ThickA;0.89;89;5;0.44;0.05;1.45;1.4;0.28212;0.2510868;0.179347714
ECA;SH;ThickA;0.87;87;6;0.33;0.05;1.45;1.4;0.28212;0.2454444;0.175317429
ECA;SH;ThickA;0.83;83;7;0.22;0.05;1.45;1.4;0.28212;0.2341596;0.167256857
ECA;SH;ThickA;0.8;80;8;0.11;0.05;1.45;1.4;0.28212;0.225696;0.161211429
ThickA;SH;ThickA;0.89;89;1;0.89;0.05;1.45;1.4;0.28212;0.2510868;0.179347714
ThickA;SH;ThickA;0.78;78;2;0.78;0.05;1.45;1.4;0.28212;0.2200536;0.157181143
ThickA;SH;ThickA;0.7;70;3;0.67;0.05;1.45;1.4;0.28212;0.197484;0.14106
ThickA;SH;ThickA;0.65;65;4;0.56;0.05;1.45;1.4;0.28212;0.183378;0.130984286
ThickA;SH;ThickA;0.58;58;5;0.44;0.05;1.45;1.4;0.28212;0.1636296;0.116878286
ThickA;SH;ThickA;0.51;51;6;0.33;0.05;1.45;1.4;0.28212;0.1438812;0.102772286
ThickA;SH;ThickA;0.41;41;7;0.22;0.05;1.45;1.4;0.28212;0.1156692;0.082620857
ThickA;SH;ThickA;0.28;28;8;0.11;0.05;1.45;1.4;0.28212;0.0789936;0.056424
ECB;SH;ThickA;0.98;98;1;0.89;0.05;1.45;1.4;0.28212;0.2764776;0.197484
ECB;SH;ThickA;0.95;95;2;0.78;0.05;1.45;1.4;0.28212;0.268014;0.191438571
ECB;SH;ThickA;0.91;91;3;0.67;0.05;1.45;1.4;0.28212;0.2567292;0.183378
ECB;SH;ThickA;0.88;88;4;0.56;0.05;1.45;1.4;0.28212;0.2482656;0.177332571
ECB;SH;ThickA;0.85;85;5;0.44;0.05;1.45;1.4;0.28212;0.239802;0.171287143
ECB;SH;ThickA;0.81;81;6;0.33;0.05;1.45;1.4;0.28212;0.2285172;0.163226571
ECB;SH;ThickA;0.78;78;7;0.22;0.05;1.45;1.4;0.28212;0.2200536;0.157181143
ECB;SH;ThickA;0.76;76;8;0.11;0.05;1.45;1.4;0.28212;0.2144112;0.153150857
ThickB;SH;ThickA;1.02;102;1;0.89;0.05;1.45;1.4;0.28212;0.2877624;0.205544571
ThickB;SH;ThickA;1.03;103;2;0.78;0.05;1.45;1.4;0.28212;0.2905836;0.207559714
ThickB;SH;ThickA;1.04;104;3;0.67;0.05;1.45;1.4;0.28212;0.2934048;0.209574857
ThickB;SH;ThickA;1.04;104;4;0.56;0.05;1.45;1.4;0.28212;0.2934048;0.209574857
ThickB;SH;ThickA;1.03;103;5;0.44;0.05;1.45;1.4;0.28212;0.2905836;0.207559714
ThickB;SH;ThickA;1.02;102;6;0.33;0.05;1.45;1.4;0.28212;0.2877624;0.205544571
ThickB;SH;ThickA;1;100;7;0.22;0.05;1.45;1.4;0.28212;0.28212;0.201514286
ThickB;SH;ThickA;1.03;103;8;0.11;0.05;1.45;1.4;0.28212;0.2905836;0.207559714
ECC;SH;ThickA;0.99;99;1;0.89;0.05;1.45;1.4;0.28212;0.2792988;0.199499143
ECC;SH;ThickA;0.98;98;2;0.78;0.05;1.45;1.4;0.28212;0.2764776;0.197484
ECC;SH;ThickA;0.98;98;3;0.67;0.05;1.45;1.4;0.28212;0.2764776;0.197484
ECC;SH;ThickA;0.97;97;4;0.56;0.05;1.45;1.4;0.28212;0.2736564;0.195468857
ECC;SH;ThickA;0.94;94;5;0.44;0.05;1.45;1.4;0.28212;0.2651928;0.189423429
ECC;SH;ThickA;0.94;94;6;0.33;0.05;1.45;1.4;0.28212;0.2651928;0.189423429
ECC;SH;ThickA;0.93;93;7;0.22;0.05;1.45;1.4;0.28212;0.2623716;0.187408286
ECC;SH;ThickA;0.95;95;8;0.11;0.05;1.45;1.4;0.28212;0.268014;0.191438571
ECA;SH;ECB;0.99;99;1;0.89;1;100;99;18.889109;18.70021791;0.18889109
ECA;SH;ECB;0.96;96;2;0.78;1;100;99;18.889109;18.13354464;0.183167118
ECA;SH;ECB;0.96;96;3;0.67;1;100;99;18.889109;18.13354464;0.183167118
ECA;SH;ECB;0.96;96;4;0.56;1;100;99;18.889109;18.13354464;0.183167118
ECA;SH;ECB;0.97;97;5;0.44;1;100;99;18.889109;18.32243573;0.185075108
ECA;SH;ECB;0.99;99;6;0.33;1;100;99;18.889109;18.70021791;0.18889109
ECA;SH;ECB;1.02;102;7;0.22;1;100;99;18.889109;19.26689118;0.194615062
ECA;SH;ECB;1.04;104;8;0.11;1;100;99;18.889109;19.64467336;0.198431044
ThickA;SH;ECB;0.99;99;1;0.89;1;100;99;18.889109;18.70021791;0.18889109
ThickA;SH;ECB;0.97;97;2;0.78;1;100;99;18.889109;18.32243573;0.185075108
ThickA;SH;ECB;0.96;96;3;0.67;1;100;99;18.889109;18.13354464;0.183167118
ThickA;SH;ECB;0.95;95;4;0.56;1;100;99;18.889109;17.94465355;0.181259127
ThickA;SH;ECB;0.93;93;5;0.44;1;100;99;18.889109;17.56687137;0.177443145
ThickA;SH;ECB;0.91;91;6;0.33;1;100;99;18.889109;17.18908919;0.173627164
ThickA;SH;ECB;0.87;87;7;0.22;1;100;99;18.889109;16.43352483;0.1659952
ThickA;SH;ECB;0.84;84;8;0.11;1;100;99;18.889109;15.86685156;0.160271228
ECB;SH;ECB;0.93;93;1;0.89;1;100;99;18.889109;17.56687137;0.177443145
ECB;SH;ECB;0.85;85;2;0.78;1;100;99;18.889109;16.05574265;0.162179219
ECB;SH;ECB;0.77;77;3;0.67;1;100;99;18.889109;14.54461393;0.146915292
ECB;SH;ECB;0.69;69;4;0.56;1;100;99;18.889109;13.03348521;0.131651366
ECB;SH;ECB;0.6;60;5;0.44;1;100;99;18.889109;11.3334654;0.114479448
ECB;SH;ECB;0.5;50;6;0.33;1;100;99;18.889109;9.4445545;0.09539954
ECB;SH;ECB;0.39;39;7;0.22;1;100;99;18.889109;7.36675251;0.074411642
ECB;SH;ECB;0.26;26;8;0.11;1;100;99;18.889109;4.91116834;0.049607761
ThickB;SH;ECB;0.88;88;1;0.89;1;100;99;18.889109;16.62241592;0.167903191
ThickB;SH;ECB;0.76;76;2;0.78;1;100;99;18.889109;14.35572284;0.145007301
ThickB;SH;ECB;0.64;64;3;0.67;1;100;99;18.889109;12.08902976;0.122111412
ThickB;SH;ECB;0.55;55;4;0.56;1;100;99;18.889109;10.38900995;0.104939494
ThickB;SH;ECB;0.47;47;5;0.44;1;100;99;18.889109;8.87788123;0.089675568
ThickB;SH;ECB;0.39;39;6;0.33;1;100;99;18.889109;7.36675251;0.074411642
ThickB;SH;ECB;0.34;34;7;0.22;1;100;99;18.889109;6.42229706;0.064871687
ThickB;SH;ECB;0.32;32;8;0.11;1;100;99;18.889109;6.04451488;0.061055706
ECC;SH;ECB;0.99;99;1;0.89;1;100;99;18.889109;18.70021791;0.18889109
ECC;SH;ECB;0.97;97;2;0.78;1;100;99;18.889109;18.32243573;0.185075108
ECC;SH;ECB;0.97;97;3;0.67;1;100;99;18.889109;18.32243573;0.185075108
ECC;SH;ECB;0.97;97;4;0.56;1;100;99;18.889109;18.32243573;0.185075108
ECC;SH;ECB;0.98;98;5;0.44;1;100;99;18.889109;18.51132682;0.186983099
ECC;SH;ECB;1.01;101;6;0.33;1;100;99;18.889109;19.07800009;0.192707072
ECC;SH;ECB;1.05;105;7;0.22;1;100;99;18.889109;19.83356445;0.200339035
ECC;SH;ECB;1.07;107;8;0.11;1;100;99;18.889109;20.21134663;0.204155016
ECA;SH;ThickB;0.99;99;1;0.89;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECA;SH;ThickB;0.98;98;2;0.78;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECA;SH;ThickB;0.98;98;3;0.67;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECA;SH;ThickB;0.97;97;4;0.56;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECA;SH;ThickB;0.97;97;5;0.44;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECA;SH;ThickB;0.97;97;6;0.33;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECA;SH;ThickB;0.97;97;7;0.22;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECA;SH;ThickB;0.97;97;8;0.11;0.05;2;1.95;0.489632;0.47494304;0.243560533
ThickA;SH;ThickB;1.01;101;1;0.89;0.05;2;1.95;0.489632;0.49452832;0.253604267
ThickA;SH;ThickB;1.02;102;2;0.78;0.05;2;1.95;0.489632;0.49942464;0.2561152
ThickA;SH;ThickB;1.04;104;3;0.67;0.05;2;1.95;0.489632;0.50921728;0.261137067
ThickA;SH;ThickB;1.04;104;4;0.56;0.05;2;1.95;0.489632;0.50921728;0.261137067
ThickA;SH;ThickB;1.05;105;5;0.44;0.05;2;1.95;0.489632;0.5141136;0.263648
ThickA;SH;ThickB;1.06;106;6;0.33;0.05;2;1.95;0.489632;0.51900992;0.266158933
ThickA;SH;ThickB;1.07;107;7;0.22;0.05;2;1.95;0.489632;0.52390624;0.268669867
ThickA;SH;ThickB;1.08;108;8;0.11;0.05;2;1.95;0.489632;0.52880256;0.2711808
ECB;SH;ThickB;0.99;99;1;0.89;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECB;SH;ThickB;0.98;98;2;0.78;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECB;SH;ThickB;0.97;97;3;0.67;0.05;2;1.95;0.489632;0.47494304;0.243560533
ECB;SH;ThickB;0.95;95;4;0.56;0.05;2;1.95;0.489632;0.4651504;0.238538667
ECB;SH;ThickB;0.93;93;5;0.44;0.05;2;1.95;0.489632;0.45535776;0.2335168
ECB;SH;ThickB;0.89;89;6;0.33;0.05;2;1.95;0.489632;0.43577248;0.223473067
ECB;SH;ThickB;0.85;85;7;0.22;0.05;2;1.95;0.489632;0.4161872;0.213429333
ECB;SH;ThickB;0.8;80;8;0.11;0.05;2;1.95;0.489632;0.3917056;0.200874667
ThickB;SH;ThickB;0.96;96;1;0.89;0.05;2;1.95;0.489632;0.47004672;0.2410496
ThickB;SH;ThickB;0.9;90;2;0.78;0.05;2;1.95;0.489632;0.4406688;0.225984
ThickB;SH;ThickB;0.81;81;3;0.67;0.05;2;1.95;0.489632;0.39660192;0.2033856
ThickB;SH;ThickB;0.72;72;4;0.56;0.05;2;1.95;0.489632;0.35253504;0.1807872
ThickB;SH;ThickB;0.61;61;5;0.44;0.05;2;1.95;0.489632;0.29867552;0.153166933
ThickB;SH;ThickB;0.49;49;6;0.33;0.05;2;1.95;0.489632;0.23991968;0.123035733
ThickB;SH;ThickB;0.36;36;7;0.22;0.05;2;1.95;0.489632;0.17626752;0.0903936
ThickB;SH;ThickB;0.23;23;8;0.11;0.05;2;1.95;0.489632;0.11261536;0.057751467
ECC;SH;ThickB;1;100;1;0.89;0.05;2;1.95;0.489632;0.489632;0.251093333
ECC;SH;ThickB;0.99;99;2;0.78;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECC;SH;ThickB;0.99;99;3;0.67;0.05;2;1.95;0.489632;0.48473568;0.2485824
ECC;SH;ThickB;0.98;98;4;0.56;0.05;2;1.95;0.489632;0.47983936;0.246071467
ECC;SH;ThickB;0.96;96;5;0.44;0.05;2;1.95;0.489632;0.47004672;0.2410496
ECC;SH;ThickB;0.94;94;6;0.33;0.05;2;1.95;0.489632;0.46025408;0.236027733
ECC;SH;ThickB;0.92;92;7;0.22;0.05;2;1.95;0.489632;0.45046144;0.231005867
ECC;SH;ThickB;0.9;90;8;0.11;0.05;2;1.95;0.489632;0.4406688;0.225984
ECA;SH;ECC;1.01;101;1;0.89;1;100;99;1.508747;1.52383447;0.015392267
ECA;SH;ECC;1.01;101;2;0.78;1;100;99;1.508747;1.52383447;0.015392267
ECA;SH;ECC;1.01;101;3;0.67;1;100;99;1.508747;1.52383447;0.015392267
ECA;SH;ECC;1.03;103;4;0.56;1;100;99;1.508747;1.55400941;0.015697065
ECA;SH;ECC;1.05;105;5;0.44;1;100;99;1.508747;1.58418435;0.016001862
ECA;SH;ECC;1.09;109;6;0.33;1;100;99;1.508747;1.64453423;0.016611457
ECA;SH;ECC;1.14;114;7;0.22;1;100;99;1.508747;1.71997158;0.01737345
ECA;SH;ECC;1.29;129;8;0.11;1;100;99;1.508747;1.94628363;0.019659431
ThickA;SH;ECC;1.05;105;1;0.89;1;100;99;1.508747;1.58418435;0.016001862
ThickA;SH;ECC;1.12;112;2;0.78;1;100;99;1.508747;1.68979664;0.017068653
ThickA;SH;ECC;1.18;118;3;0.67;1;100;99;1.508747;1.78032146;0.017983045
ThickA;SH;ECC;1.25;125;4;0.56;1;100;99;1.508747;1.88593375;0.019049836
ThickA;SH;ECC;1.32;132;5;0.44;1;100;99;1.508747;1.99154604;0.020116627
ThickA;SH;ECC;1.36;136;6;0.33;1;100;99;1.508747;2.05189592;0.020726221
ThickA;SH;ECC;1.43;143;7;0.22;1;100;99;1.508747;2.15750821;0.021793012
ThickA;SH;ECC;1.62;162;8;0.11;1;100;99;1.508747;2.44417014;0.024688587
ECB;SH;ECC;1;100;1;0.89;1;100;99;1.508747;1.508747;0.015239869
ECB;SH;ECC;1.01;101;2;0.78;1;100;99;1.508747;1.52383447;0.015392267
ECB;SH;ECC;1.02;102;3;0.67;1;100;99;1.508747;1.53892194;0.015544666
ECB;SH;ECC;1.04;104;4;0.56;1;100;99;1.508747;1.56909688;0.015849463
ECB;SH;ECC;1.11;111;5;0.44;1;100;99;1.508747;1.67470917;0.016916254
ECB;SH;ECC;1.18;118;6;0.33;1;100;99;1.508747;1.78032146;0.017983045
ECB;SH;ECC;1.29;129;7;0.22;1;100;99;1.508747;1.94628363;0.019659431
ECB;SH;ECC;1.46;146;8;0.11;1;100;99;1.508747;2.20277062;0.022250208
ThickB;SH;ECC;1.06;106;1;0.89;1;100;99;1.508747;1.59927182;0.016154261
ThickB;SH;ECC;1.11;111;2;0.78;1;100;99;1.508747;1.67470917;0.016916254
ThickB;SH;ECC;1.18;118;3;0.67;1;100;99;1.508747;1.78032146;0.017983045
ThickB;SH;ECC;1.24;124;4;0.56;1;100;99;1.508747;1.87084628;0.018897437
ThickB;SH;ECC;1.33;133;5;0.44;1;100;99;1.508747;2.00663351;0.020269025
ThickB;SH;ECC;1.42;142;6;0.33;1;100;99;1.508747;2.14242074;0.021640614
ThickB;SH;ECC;1.57;157;7;0.22;1;100;99;1.508747;2.36873279;0.023926594
ThickB;SH;ECC;1.84;184;8;0.11;1;100;99;1.508747;2.77609448;0.028041358
ECC;SH;ECC;1.01;101;1;0.89;1;100;99;1.508747;1.52383447;0.015392267
ECC;SH;ECC;1.01;101;2;0.78;1;100;99;1.508747;1.52383447;0.015392267
ECC;SH;ECC;1.01;101;3;0.67;1;100;99;1.508747;1.52383447;0.015392267
ECC;SH;ECC;1.02;102;4;0.56;1;100;99;1.508747;1.53892194;0.015544666
ECC;SH;ECC;1.01;101;5;0.44;1;100;99;1.508747;1.52383447;0.015392267
ECC;SH;ECC;1;100;6;0.33;1;100;99;1.508747;1.508747;0.015239869
ECC;SH;ECC;0.92;92;7;0.22;1;100;99;1.508747;1.38804724;0.014020679
ECC;SH;ECC;0.91;91;8;0.11;1;100;99;1.508747;1.37295977;0.013868281
